guard_suicide,guard_accidents,guard_selfHarm,guard_depression,guard_racism,guard_eatingDisorders
0.5892503,0.7207064,0.7634959,0.60082906,0.46966714,0.7740648
0.7038931,0.681449,0.8179589,0.67004937,0.62998945,0.8374361
0.7469426,0.85719824,0.8244931,0.7148692,0.55742544,0.82345885
0.74710184,0.7138266,0.8605042,0.7000561,0.6240519,0.87235993
0.61686426,0.76092476,0.74795413,0.6022725,0.51493514,0.76442313
0.6337854,0.75195,0.8043298,0.66984534,0.5731374,0.8306065
0.61690116,0.8396007,0.76547986,0.6457961,0.47164708,0.7705805
0.65282303,0.667229,0.77355486,0.5937346,0.5840007,0.7962938
0.7105568,0.8959302,0.7860249,0.6835182,0.51924074,0.77691567
0.66827536,0.8338105,0.8324385,0.70049226,0.51244956,0.84240276
0.63896006,0.7726034,0.79884523,0.6706455,0.52432895,0.8172091
0.5847447,0.8732376,0.74874467,0.6423235,0.45719787,0.7640176
0.73019266,0.70703906,0.8375789,0.66058266,0.6032442,0.8543501
0.7935822,0.63076705,0.79527265,0.6504378,0.6001465,0.78645146
0.6905942,0.93359107,0.78038764,0.66042876,0.53290504,0.7787721
0.65818226,0.8376322,0.76772803,0.6060809,0.58304536,0.773494
0.78550285,0.7849036,0.8430538,0.8081232,0.56136495,0.84351766
0.78069055,0.6221296,0.86516863,0.74206734,0.7633926,0.88217896
0.6404208,0.69895494,0.7781144,0.60838056,0.67236793,0.7975882
0.72120965,0.70837814,0.8371642,0.72403306,0.64198726,0.8572438
0.63296175,0.666384,0.782885,0.6327252,0.63009477,0.8084761
0.646302,0.7515922,0.7680657,0.5841224,0.6723206,0.7851481
0.76680315,0.8157289,0.8363883,0.70784646,0.6869274,0.83473724
0.69113165,0.8616544,0.81661445,0.7090628,0.52557594,0.81499386
0.6095397,0.7496673,0.8210331,0.7092021,0.53267854,0.8419473
0.7394688,0.85929704,0.8338084,0.7163402,0.55804133,0.83398616
0.53050816,0.61197144,0.7116055,0.54397625,0.58848363,0.75133544
0.6251178,0.86173815,0.7565403,0.6302108,0.4620902,0.7598864
0.60054547,0.89596874,0.7504657,0.6388912,0.445856,0.7632234
0.62887764,0.81156504,0.7876952,0.6172752,0.51601285,0.7909413
0.7794033,0.7336782,0.88250035,0.7972909,0.67491215,0.8854955
0.69495285,0.73274344,0.80649185,0.6680935,0.6087572,0.82270044
0.55705833,0.74605685,0.71569824,0.5663446,0.4700813,0.7323087
0.75852144,0.64658946,0.88216954,0.77934986,0.72498256,0.8815048
0.6278369,0.89656544,0.74883336,0.652358,0.4493799,0.74955314
0.61177593,0.6756914,0.7819627,0.6440601,0.5765071,0.8074102
0.7765929,0.62644744,0.83419317,0.7087024,0.6161525,0.8422195
0.71334577,0.77896005,0.7931437,0.6343879,0.5677794,0.8100747
0.70310587,0.87655836,0.83841264,0.7443282,0.5637253,0.84940934
0.7354644,0.8505004,0.8303348,0.68558437,0.55090725,0.8269591
0.6572629,0.9292881,0.7814608,0.68514913,0.48898974,0.79091823
0.63159055,0.63798183,0.7529563,0.5891132,0.5519947,0.788402
0.67077744,0.8144768,0.7962326,0.6382087,0.6521837,0.81284744
0.6771962,0.8138045,0.7967419,0.63540906,0.4924432,0.8038528
0.7885311,0.7335996,0.8922446,0.7636543,0.69918275,0.9024519
0.75987077,0.7508594,0.85757035,0.7406537,0.6117522,0.87272197
0.5814007,0.8502199,0.7185203,0.5979207,0.43395987,0.72267634
0.6811236,0.7909422,0.79060763,0.6276356,0.60244757,0.8129084
0.769043,0.66394186,0.8106624,0.7150061,0.594808,0.8178451
0.698979,0.8109175,0.7724507,0.6198304,0.5850504,0.7862633
0.8762244,0.6939814,0.8822649,0.83096766,0.6621206,0.86492276
0.78450835,0.67699546,0.88722926,0.7861809,0.7239335,0.895632
0.7561774,0.77081054,0.8356344,0.6932486,0.7190237,0.84373397
0.9082425,0.6215434,0.8808679,0.79166967,0.6696573,0.8563486
0.72277373,0.63483036,0.8186225,0.65651983,0.5906659,0.82355595
0.687999,0.6170366,0.8110275,0.6218785,0.5830904,0.81720316
0.7032632,0.7403422,0.8181477,0.7214245,0.5734443,0.8312824
0.7650314,0.70203257,0.8798037,0.7536885,0.63388467,0.8869241
0.6319695,0.8881294,0.7729822,0.661502,0.47069737,0.77979505
0.7510519,0.71469223,0.7792921,0.6280313,0.6526202,0.78873074
0.67571455,0.76020056,0.8071669,0.6735135,0.59946454,0.83150387
0.7182411,0.6516563,0.8080553,0.6957117,0.59706634,0.8241832
0.7342505,0.6556626,0.78080696,0.6325652,0.58175564,0.79799485
0.73345745,0.70184046,0.8674874,0.73211795,0.634303,0.8588759
